code	profile_spec_name	required_vi	optional_vi_ege	optional_vi_vuz
44.03.03	специальное (дефектологическое) образование. профиль образовательной программы «дефектология»	русский язык;биология		естественные науки о человеке и ортокоммуникации
44.03.05	педагогическое образование (с двумя профилями подготовки). информатика и экономика	русский язык;обществознание		информатика и современные информационные технологии
44.03.05	педагогическое образование (с двумя профилями подготовки). история и география	русский язык;обществознание	литература;история;география;иностранный язык	
44.03.05	педагогическое образование (с двумя профилями подготовки). математика и физика	русский язык;математика	физика;информатика;иностранный язык;обществознание;география;химия;история	
44.03.05	педагогическое образование (с двумя профилями подготовки). дошкольное образование и дополнительное образование	русский язык;обществознание		педагогика и детская психология
44.03.05	педагогическое образование (с двумя профилями подготовки). история и обществознание	русский язык;обществознание	литература;история;география;иностранный язык	
44.03.05	педагогическое образование (с двумя профилями подготовки). начальное образование и организация воспитательной работы	русский язык;обществознание	математика;информатика;литература;история;география	биология иностранный язык
44.03.05	педагогическое образование (с двумя профилями подготовки). английский язык и китайский язык	русский язык;обществознание	иностранный язык;история;литература;математика	
44.03.05	педагогическое образование (с двумя профилями подготовки). русский язык и литература	русский язык;обществознание	литература;история;иностранный язык	
44.03.05	педагогическое образование (с двумя профилями подготовки). дополнительное образование. изо и декоративно-прикладное искусство	русский язык;обществознание		композиция
45.03.01	филология. профиль образовательной программы «филологическое обеспечение профессиональных коммуникаций»	русский язык;литература		сочинение
46.03.02	документоведение и архивоведение. профиль образовательной программы «документоведение и документационное обеспечение управления»	русский язык;история	обществознание;литература;география;информатика;иностранный язык	
49.03.01	физическая культура. профиль образовательной программы «спортивный менеджмент и судейство спортивных соревнований»	русский язык;биология		судейство по видам спорта
54.03.01	дизайн. профиль образовательной программы «графический дизайн»	русский язык;литература		рисунок
10.05.03	информационная безопасность автоматизированных систем. профиль образовательной программы «разработка автоматизированных систем в защищенном исполнении»	русский язык;математика	информатика;физика	
21.05.04	горное дело. профиль образовательной программы «маркшейдерское дело»	русский язык;математика	физика;химия;информатика;география	
21.05.04	горное дело. профиль образовательной программы «обогащение полезных ископаемых»	русский язык;математика	физика;химия;информатика;география	
21.05.04	горное дело. профиль образовательной программы «подземная разработка рудных месторождений»	русский язык;математика	физика;химия;информатика;география	
21.05.04	горное дело. профиль образовательной программы «открытые горные работы»	русский язык;математика	физика;химия;информатика;география	
21.05.04	горное дело. профиль образовательной программы «горные машины и оборудование»	русский язык;математика	физика;химия;информатика;география	
23.05.04	эксплуатация железных дорог. профиль образовательной программы «промышленный транспорт»	русский язык;математика	физика;химия;информатика	
45.05.01	перевод и переводоведение. профиль образовательной программы «английский язык и немецкий язык»	русский язык;иностранный язык	обществознание;история;литература;география;информатика	
