code	profile_spec_name	lvl	link	FormEd	Plan_Budg	Plan_Comm	Duration
22.04.02	металлургия	магистратура	https://abit.magtu.ru/22-04-02-metallurgiya	заочная	0	15	2 года 4 месяца
22.04.02	металлургия	магистратура	https://abit.magtu.ru/22-04-02-metallurgiya	очная	59	25	2 года
23.04.01	технология транспортных процессов	магистратура	https://abit.magtu.ru/23-04-01-tehnologiya-transportnyh-processov	очная	12	10	2 года
23.05.04	эксплуатация железных дорог	специалитет	https://abit.magtu.ru/23-05-04-ekspluataciya-zheleznyh-dorog	заочная	0	20	5 лет 11 месяцев
23.05.04	эксплуатация железных дорог	специалитет	https://abit.magtu.ru/23-05-04-ekspluataciya-zheleznyh-dorog	очная	25	10	5 лет
27.03.01	стандартизация и метрология	бакалавриат	https://abit.magtu.ru/27-03-01-standartizaciya-i-metrologiya	очная	23	10	4 года
27.03.04	управление в технических системах	бакалавриат	https://abit.magtu.ru/27-03-04-upravlenie-v-tehnicheskih-sistemah	заочная	0	25	4 года 11 месяцев
27.03.04	управление в технических системах	бакалавриат	https://abit.magtu.ru/27-03-04-upravlenie-v-tehnicheskih-sistemah	очная	23	15	4 года
27.04.01	стандартизация и метрология	магистратура	https://abit.magtu.ru/27-04-01-standartizaciya-i-metrologiya	очная	11	5	2 года
27.04.04	управление в технических системах	магистратура	https://abit.magtu.ru/27-04-04-upravlenie-v-tehnicheskih-sistemah	очная	10	5	2 года
29.03.03	технология полиграфического и упаковочного производства	бакалавриат	https://abit.magtu.ru/29-03-03-tehnologiya-poligraficheskogo-i-upakovochnogo-proizvodstva	очная	25	10	4 года
29.04.04	технология художественной обработки материалов	магистратура	https://abit.magtu.ru/29-04-04-tehnologiya-hudozhestvennoy-obrabotki-materialov	очная	15	5	2 года
37.03.01	психология	бакалавриат	https://abit.magtu.ru/37-03-01-psihologiya	очно-заочная	0	25	4 года 11 месяцев
38.03.01	экономика	бакалавриат	https://abit.magtu.ru/38-03-01-ekonomika	очная	0	29	4 года
38.03.01	экономика	бакалавриат	https://abit.magtu.ru/38-03-01-ekonomika	очно-заочная	0	29	4 года 11 месяцев
38.03.02	менеджмент	бакалавриат	https://abit.magtu.ru/38-03-02-menedzhment	очная	0	30	4 года
38.03.02	менеджмент	бакалавриат	https://abit.magtu.ru/38-03-02-menedzhment	очно-заочная	0	30	4 года 11 месяцев
38.03.03	управление персоналом	бакалавриат	https://abit.magtu.ru/38-03-03-upravlenie-personalom	очная	0	20	4 года
38.04.01	экономика	магистратура	https://abit.magtu.ru/38-04-01-ekonomika	заочная	0	35	2 года 4 месяца
38.04.01	экономика	магистратура	https://abit.magtu.ru/38-04-01-ekonomika	очная	0	40	2 года
38.04.02	менеджмент	магистратура	https://abit.magtu.ru/38-04-02-menedzhment	заочная	0	20	2 года 4 месяца
38.04.02	менеджмент	магистратура	https://abit.magtu.ru/38-04-02-menedzhment	очная	0	15	2 года
38.04.03	управление персоналом	магистратура	https://abit.magtu.ru/38-04-03-upravlenie-personalom	заочная	0	15	2 года 4 месяца
39.03.01	социология	бакалавриат	https://abit.magtu.ru/39.03.01-socziologiya	заочная	0	25	4 года 11 месяцев
40.03.01	юриспруденция	бакалавриат	https://abit.magtu.ru/40-03-01-yurisprudenciya	очная	0	30	4 года
40.03.01	юриспруденция	бакалавриат	https://abit.magtu.ru/40-03-01-yurisprudenciya	очно-заочная	0	30	4 года 11 месяцев
